,District_Name,SCHOOL,Gender,2011_Total,%0-5_Points,%6-10_Points,%11-15_Points,%16-20_Points,%21-25_Points,2012_Total,%0-5_Points.1,%6-10_Points.1,%11-15_Points.1,%16-20_Points.1,%21-25_Points.1,2013_Total,%0-5_Points.2,%6-10_Points.2,%11-15_Points.2,%16-20_Points.2,2014_Total,%0-5_Points.3,%6-10_Points.3,%11-15_Points.3,%16-20_Points.3,2015_Total,%0-5_Points.4,%6-10_Points.4,%11-15_Points.4,%16-20_Points.4
2,AMUDAT_Total,POKOT_SECONDARY_SCHOOL,Total,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.3,63.6,9.1,0.0,0.0,22.0,72.7,27.3,0.0,0.0,11.0,54.5,36.4,9.1,0.0,,20.0,40.0,40.0,0.0
9,PADER_Total,PAJULE_SECONDARY_SCHOOL,Total,20.0,45.0,45.0,0.0,10.0,0.0,50.0,32.0,44.0,20.0,4.0,0.0,116.0,44.8,36.2,19.0,0.0,53.0,49.1,37.7,13.2,0.0,77.0,43.8,42.9,10.4,0.0
24,SERERE_Total,"SUNRISE_HIGH_SCHOOL,SERERE",Total,52.0,59.6,28.8,9.6,1.9,0.0,101.0,32.7,47.5,14.9,5.0,0.0,300.0,54.0,39.3,4.7,2.0,142.0,40.1,49.3,8.5,2.1,159.0,47.0,38.4,5.7,0.0
39,RUBIRIZI_Total,"ST.MICHAEL_HIGH_SCHOOL,RUGAZI",Total,124.0,18.5,50.8,21.8,8.9,0.0,183.0,19.1,43.7,26.2,10.4,0.5,532.0,45.9,38.7,13.9,1.5,207.0,32.4,42.5,20.8,4.3,210.0,34.1,40.0,18.6,3.3
104,MITYANA_Total,WAMALA_HIGH_SCHOOL,Total,1743.0,16.8,34.4,30.1,15.7,2.9,1800.0,16.6,36.0,29.6,14.7,3.2,3844.0,31.3,43.3,21.0,4.5,1905.0,28.5,39.5,24.8,7.3,1817.0,24.8,46.5,22.7,3.5
111,NWOYA_Total,"POPE_PAUL_VI_SECONDARY_SCHOOL,ANAKA",Total,105.0,37.1,52.4,9.5,0.0,1.0,87.0,32.2,49.4,11.5,6.9,0.0,168.0,60.7,32.1,6.0,1.2,72.0,62.5,25.0,11.1,1.4,67.0,64.8,31.3,0.0,0.0
134,NAKASEKE_Total,TIMUNA_SECONDARY_SCHOOL,Total,497.0,19.7,44.5,24.9,9.9,1.0,537.0,20.1,44.7,27.6,6.5,1.1,1048.0,42.4,40.3,15.6,1.7,490.0,37.6,40.8,19.6,2.0,445.0,30.9,41.3,23.1,1.6
213,BUIKWE_Total,"VICTORIA_SECONDARY_SCHOOL,SSI-BUKUNJA",Total,2164.0,17.8,31.6,31.8,16.3,2.5,2340.0,16.8,33.8,31.3,15.4,2.6,5086.0,31.7,39.2,24.9,4.2,2380.0,26.8,35.0,29.2,9.1,2264.0,24.4,48.1,22.4,2.1
300,JINJA_Total,WANYANGE_GIRLS_SCHOOL,Total,3329.0,25.8,34.8,25.9,12.2,1.4,3765.0,26.6,39.0,23.0,9.7,1.7,7492.0,41.3,39.6,16.8,2.3,3604.0,34.7,38.3,21.9,5.2,3019.0,33.8,43.7,16.5,1.5
331,GULU._Total,"TRINITY_COLLEGE,GULU",Total,1263.0,29.4,38.5,25.6,6.4,0.2,1273.0,24.0,42.2,27.6,6.1,0.2,2444.0,39.6,41.4,17.8,1.2,994.0,35.3,42.5,20.3,1.9,921.0,37.5,48.1,10.4,0.4
340,MARACHA._Total,YIVU_SECONDARY_SCHOOL,Total,233.0,23.6,49.4,24.0,3.0,0.0,212.0,24.1,51.4,19.8,4.7,0.0,312.0,44.9,48.7,6.4,0.0,151.0,43.7,44.4,11.9,0.0,144.0,43.6,49.3,3.5,0.0
351,BUYENDE_Total,LUNAR_INTERNATIONAL_COLLEGE,Total,100.0,22.0,32.0,27.0,18.0,1.0,143.0,34.3,46.2,16.8,2.8,0.0,402.0,47.3,36.3,15.4,1.0,99.0,50.5,34.3,15.2,0.0,140.0,51.0,37.1,6.4,0.0
364,KYEGEGWA_Total,WEKOMIIRE_SECONDARY_SCHOOL,Total,137.0,29.9,42.3,21.2,5.1,1.5,148.0,27.7,37.2,26.4,8.1,0.7,402.0,50.7,33.8,14.4,1.0,139.0,49.6,25.9,20.1,4.3,187.0,38.9,47.6,9.6,0.0
888,WAKISO_Total,ZANA_MIXED_SECONDARY_SCHOOL,Total,17895.0,15.0,30.9,28.2,18.7,7.1,19024.0,13.9,31.7,30.5,17.4,6.5,38588.0,26.1,37.2,27.0,9.7,18975.0,20.2,34.2,30.7,14.9,18552.0,21.6,41.9,27.9,6.1
902,KOLE_Total,"ST.MARY'S_GIRLS'_COLLEGE,ABOKE",Total,113.0,21.2,32.7,20.4,24.8,0.9,135.0,17.0,38.5,22.2,21.5,0.7,340.0,44.7,36.5,18.2,0.6,198.0,34.3,32.8,27.8,5.1,156.0,35.9,41.7,19.2,0.0
947,KALUNGU_Total,YESU_AKWAGALA_HIGH_SCHOOL,Total,703.0,11.5,39.5,31.2,15.8,2.0,870.0,13.1,34.1,37.7,13.6,1.5,1902.0,21.3,45.6,29.2,3.8,921.0,20.5,40.9,30.4,8.1,724.0,22.9,45.7,27.1,2.6
952,KITGUM_Total,PALABEK_SECONDARY_SCHOOL,Total,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,30.0,0.0,0.0,80.0,50.0,42.5,7.5,0.0,23.0,8.7,78.3,13.0,0.0,38.0,43.4,39.5,13.2,0.0
957,NTOROKO_Total,RWEBISENGO_SECONDARY_SCHOOL,Total,14.0,42.9,42.9,14.3,0.0,0.0,14.0,57.1,35.7,7.1,0.0,0.0,44.0,68.2,22.7,9.1,0.0,30.0,43.3,56.7,0.0,0.0,25.0,56.0,44.0,0.0,0.0
966,ABIM_Total,MORULEM_GIRLS'_SECONDARY_SCHOOL,Total,59.0,27.1,42.4,23.7,6.8,0.0,102.0,24.5,48.0,26.5,1.0,0.0,198.0,54.5,41.4,4.0,0.0,64.0,46.9,40.6,12.5,0.0,44.0,51.3,31.8,4.5,0.0
971,OTUKE_Total,OKWANG_SECONDARY_SCHOOL,Total,76.0,6.6,44.7,31.6,17.1,0.0,68.0,14.7,33.8,47.1,4.4,0.0,152.0,52.6,42.1,5.3,0.0,79.0,41.8,50.6,7.6,0.0,86.0,48.5,44.2,3.5,0.0
983,MOYO_Total,"ST.ANDREW'S_COLLEGE,MOYO",Total,216.0,41.2,36.6,19.0,2.8,0.5,165.0,35.2,37.6,21.2,4.8,1.2,338.0,47.9,43.2,8.9,0.0,128.0,39.8,43.8,14.8,1.6,129.0,61.8,31.0,3.9,0.0
1009,NAKASONGOLA._Total,ST.JOSEPH'S_VOCATIONAL_HIGH_SCHOOL,Total,359.0,29.0,36.8,24.0,9.2,1.1,372.0,23.7,41.1,25.3,9.4,0.5,922.0,46.6,35.8,14.8,2.8,347.0,42.7,37.2,14.7,5.5,285.0,29.6,48.8,17.2,1.1
1016,KWEEN._Total,"KWORUS_SECONDARY_SCHOOL,KWEEN",Total,90.0,41.1,44.4,14.4,0.0,0.0,130.0,30.8,50.8,16.9,0.8,0.8,342.0,53.8,39.2,7.0,0.0,163.0,56.4,35.0,8.6,0.0,144.0,46.8,45.8,2.8,0.0
1035,SIRONKO_Total,SIRONKO_PROGRESSIVE_SECONDARY_SCHOOL,Total,274.0,32.8,44.2,17.5,5.1,0.4,344.0,32.3,47.4,17.4,2.3,0.6,880.0,58.4,33.0,8.0,0.7,339.0,49.9,37.5,10.6,2.1,339.0,49.8,36.9,5.6,0.0
1043,AMURU_Total,"RESTORE_LEADERSHIP_HIGH_SCHOOL,GULU",Total,13.0,15.4,38.5,46.2,0.0,0.0,60.0,23.3,50.0,26.7,0.0,0.0,128.0,64.1,34.4,1.6,0.0,57.0,56.1,33.3,10.5,0.0,85.0,32.9,41.2,18.8,0.0
1054,BUGIRI_Total,"ST.PHILLIPS_SECONDARY_SCHOOL,LWANGOSIA",Total,89.0,49.4,30.3,18.0,2.2,0.0,88.0,38.6,42.0,11.4,8.0,0.0,268.0,54.5,35.1,9.7,0.7,104.0,49.0,36.5,13.5,1.0,69.0,34.3,43.5,14.5,0.0
1056,NAPAK_Total,KANGOLE_GIRLS'_SCHOOL,Total,13.0,53.8,30.8,15.4,0.0,0.0,17.0,5.9,52.9,41.2,0.0,0.0,32.0,18.8,56.3,18.8,6.3,13.0,15.4,46.2,23.1,15.4,21.0,9.5,76.2,14.3,0.0
1092,BUTAMBALA_Total,NTANDA_COLLEGE_SCHOOL,Total,1366.0,13.0,28.8,29.6,22.6,5.9,1524.0,9.8,27.8,35.0,20.9,6.5,2888.0,18.3,38.0,33.5,10.2,1322.0,15.7,38.3,31.8,14.3,1221.0,18.1,40.8,32.4,7.2
1103,ZOMBO_Total,WARR_GIRLS'_SECONDARY_SCHOOL,Total,27.0,29.6,55.6,11.1,3.7,0.0,56.0,51.8,30.4,17.9,0.0,0.0,184.0,63.0,35.9,1.1,0.0,79.0,60.8,27.8,10.1,1.3,76.0,49.9,43.4,1.3,0.0
1143,LIRA_Total,ST.MARY_MAGDALENE_GIRLS_SECONDARY_SCHOOL,Total,1004.0,27.7,43.2,22.6,6.3,0.2,1261.0,34.0,39.7,20.8,5.2,0.3,2690.0,54.3,36.8,8.1,0.8,1234.0,42.9,39.4,16.5,1.2,1107.0,43.8,41.0,8.4,0.3
1178,SOROTI._Total,TUBUR_SECONDARY_SCHOOL,Total,1336.0,38.8,41.4,15.6,3.8,0.4,1377.0,35.2,38.0,20.4,5.8,0.6,2972.0,50.3,32.7,14.7,2.4,1353.0,37.4,39.7,19.2,3.7,1296.0,43.6,40.0,10.4,0.5
1192,NGORA_Total,"TESO_INTERGRATED_SECONDARY_SCHOOL,NGORA",Total,438.0,25.3,40.2,24.2,9.1,1.1,509.0,20.4,38.1,28.7,11.6,1.2,1050.0,36.8,41.9,18.7,2.7,437.0,35.2,40.7,20.1,3.9,411.0,38.2,43.6,10.7,0.5
1205,BUNDIBUGYO_Total,ST.MARY'S_SIMBYA_SECONDARY_SCHOOL,Total,149.0,44.3,36.2,16.1,3.4,0.0,165.0,30.9,47.9,18.8,1.8,0.6,312.0,66.0,28.2,5.8,0.0,137.0,56.9,33.6,8.8,0.7,113.0,61.0,26.5,0.9,0.0
1218,KABERAMAIDO_Total,"MIDLAND_HIGH_SCHOOL,KABERAMAIDO",Total,60.0,41.7,46.7,8.3,3.3,0.0,83.0,41.0,42.2,15.7,1.2,0.0,268.0,73.1,23.1,3.7,0.0,100.0,58.0,37.0,4.0,1.0,90.0,44.1,41.1,4.4,0.0
1302,MPIGI_Total,"STAR_SENIOR_SCHOOL,JJEZA",Total,1427.0,10.1,32.0,36.6,17.7,3.6,1720.0,8.4,35.3,39.1,15.0,2.2,3500.0,21.2,45.9,28.5,4.3,1667.0,20.7,40.8,31.2,7.3,1756.0,20.6,49.8,25.6,2.3
1324,BUDAKA_Total,"ST.CLARE_GIRLS'_HIGH_SCHOOL,PALLISA",Total,265.0,27.5,42.6,22.6,6.8,0.4,296.0,25.7,47.0,22.6,4.4,0.3,856.0,61.0,28.7,10.3,0.0,420.0,54.3,33.6,11.4,0.7,298.0,38.7,46.6,10.1,0.0
1361,KIBAALE_Total,"URDT_GIRLS_SECONDARY_SCHOOL,KITEGWA",Total,353.0,20.1,40.2,26.6,11.9,1.1,445.0,16.4,44.5,26.5,10.3,2.2,1156.0,43.3,37.9,17.6,1.2,555.0,33.7,43.6,19.8,2.9,625.0,33.2,47.2,14.4,1.0
1368,BUDUDA_Total,BUSHIKA_SECONDARY_SCHOOL,Total,202.0,60.9,33.7,4.5,1.0,0.0,266.0,49.2,43.6,6.8,0.4,0.0,530.0,73.6,24.2,2.3,0.0,200.0,60.5,33.0,6.5,0.0,179.0,59.1,25.1,5.0,0.0
1383,KIBOGA_Total,"SAVIOUR_HIGH_SCHOOL,KIBOGA",Total,329.0,25.2,38.6,23.7,9.7,2.7,351.0,23.6,43.0,24.5,8.3,0.6,582.0,46.4,38.1,12.7,2.7,279.0,38.7,43.4,16.8,1.1,233.0,34.0,42.1,13.3,1.3
1408,PALLISA._Total,"VICTORY_SECONDARY_SCHOOL,PALLISA",Total,387.0,32.0,44.2,20.7,3.1,0.0,373.0,37.0,48.0,13.4,1.3,0.3,918.0,66.9,27.5,5.7,0.0,455.0,55.6,35.8,8.4,0.2,322.0,49.9,38.5,4.0,0.0
1421,BUKEDEA_Total,"ST.THEREZA_SECONDARY_SCHOOL,OKUNGURO",Total,134.0,46.3,37.3,11.2,4.5,0.7,150.0,21.3,49.3,22.7,6.0,0.7,394.0,47.2,43.7,8.6,0.5,162.0,54.9,35.2,9.9,0.0,150.0,38.3,45.3,10.7,0.0
1482,NTUNGAMO_Total,WEST_END_MODERN_SECONDARY_SCHOOL,Total,1167.0,16.2,35.0,31.4,15.2,2.2,1416.0,20.0,38.8,29.2,10.0,2.0,3060.0,34.9,38.0,23.7,3.4,1411.0,33.2,33.9,26.2,6.7,1312.0,29.3,45.1,18.9,2.5
1538,TORORO_Total,TORORO_UNIVERSAL_COLLEGE,Total,1782.0,23.1,36.6,28.0,11.3,1.0,1668.0,22.2,39.9,26.6,10.5,0.8,3502.0,44.5,39.1,14.8,1.5,1543.0,37.1,39.4,20.1,3.4,1394.0,38.6,44.3,11.5,1.7
1542,MOROTO_Total,MOROTO_HIGH_SCHOOL,Total,62.0,9.7,38.7,35.5,14.5,1.6,103.0,11.7,54.4,26.2,6.8,1.0,264.0,42.4,37.9,17.4,2.3,107.0,27.1,48.6,23.4,0.9,99.0,31.3,60.6,8.1,0.0
1559,KOBOKO_Total,"ST.CHARLES_LWANGA_SS,KOBOKO",Total,391.0,45.5,38.9,13.6,2.0,0.0,395.0,35.9,47.3,13.4,3.3,0.0,752.0,59.0,36.4,4.3,0.3,284.0,53.5,39.4,6.7,0.4,224.0,57.3,30.4,3.6,0.0
1629,MBALE_Total,"WANALE_VIEW_SECONDARY_SCHOOL,MBALE",Total,3516.0,41.2,36.7,17.7,4.2,0.3,3849.0,37.8,40.9,17.4,3.7,0.2,7530.0,55.4,33.7,10.2,0.8,3455.0,47.4,38.5,12.9,1.2,2998.0,40.4,41.7,10.0,0.5
1638,BULIISA_Total,UGANDA_MARTYRS_COMP._SECONDARY_SCHOOL,Total,106.0,18.9,40.6,27.4,9.4,3.8,86.0,9.3,39.5,38.4,12.8,0.0,214.0,35.5,53.3,10.3,0.9,133.0,39.1,39.8,19.5,1.5,83.0,19.2,62.7,10.8,0.0
1657,BUSHENYI_Total,"ST.NOAH_SECONDARY_SCHOOL,MUTARA",Total,349.0,25.2,44.7,22.6,6.6,0.9,442.0,24.2,41.6,24.4,9.3,0.5,974.0,40.5,42.7,15.6,1.2,416.0,30.3,41.6,24.8,3.4,481.0,34.4,45.3,16.8,0.4
1671,KUMI_Total,WIGGINS_SECONDARY_SCHOOL,Total,104.0,46.2,31.7,20.2,1.9,0.0,143.0,33.6,46.2,16.8,2.8,0.7,388.0,51.0,44.3,4.6,0.0,164.0,51.2,35.4,12.2,1.2,127.0,52.6,33.1,5.5,0.0
1678,KATAKWI_Total,USUK_SECONDARY_SCHOOL,Total,59.0,35.6,52.5,8.5,3.4,0.0,63.0,30.2,44.4,19.0,6.3,0.0,114.0,57.9,36.8,5.3,0.0,65.0,58.5,35.4,6.2,0.0,41.0,44.5,43.9,7.3,0.0
1687,AMURIA_Total,"ST.PETER'S_SECONDARY_SCHOOL,ACOWA",Total,143.0,37.1,45.5,15.4,2.1,0.0,181.0,25.4,49.7,20.4,4.4,0.0,400.0,49.0,43.0,7.5,0.5,185.0,61.6,29.7,8.6,0.0,191.0,55.9,31.4,3.1,0.0
1718,MANAFWA_Total,WABWALA_SECONDARY_SCHOOL,Total,383.0,49.3,37.3,12.3,1.0,0.0,423.0,40.9,46.3,11.3,1.2,0.2,1066.0,65.5,31.1,3.4,0.0,525.0,56.6,34.5,8.4,0.6,391.0,56.9,33.0,4.9,0.0
2075,KAMPALA_Total,"WORDSWORTH_SECONDARY_SCHOOL,KAMPALA",Total,17150.0,20.7,31.4,27.1,17.3,3.6,17291.0,16.6,33.3,29.8,16.5,3.8,32602.0,30.8,36.5,25.7,7.0,15306.0,22.6,35.8,30.9,10.7,14135.0,25.3,45.0,23.4,3.3
2124,MUBENDE_Total,"UNIVERSAL_COLLEGE,MUBENDE",Total,601.0,21.6,42.1,26.3,9.3,0.7,648.0,22.2,44.0,25.0,7.9,0.9,1494.0,43.9,38.8,15.1,2.1,778.0,43.7,41.3,13.5,1.5,669.0,38.5,42.9,12.3,0.9
2209,KABALE_Total,"ST.PAUL'S_SEMINARY,KABALE",Total,2296.0,24.5,35.1,25.7,12.8,1.8,2485.0,25.8,35.0,26.6,11.2,1.4,5370.0,40.9,36.9,18.5,3.7,2384.0,38.3,34.6,21.7,5.4,2311.0,38.1,42.9,12.4,1.3
